id_portal,url,fuente,precio_usd,area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,tipo_propiedad,latitud,longitud,distrito_oficial,h3_index_8,dist_mar_km,dist_centro_km,area_por_dormitorio,mismatch_type,precision_geocoding,cantidad_denuncias,count_1km_supermercados,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,dist_nearest_m_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_en_condominio,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_cerco_de_material_noble,tiene_portero_electrico,tiene_av_acceso_afirmada,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,estrato_nse,categoria_distrito,cat_dist_emergente,cat_dist_establecido,cat_dist_popular,count_500m_osm_supermercados,count_1km_osm_supermercados,dist_nearest_m_osm_supermercados,count_500m_osm_malls,count_1km_osm_malls,dist_nearest_m_osm_malls,count_500m_osm_universidades,count_1km_osm_universidades,dist_nearest_m_osm_universidades,count_500m_osm_parques,count_1km_osm_parques,dist_nearest_m_osm_parques,count_500m_osm_farmacias,count_1km_osm_farmacias,dist_nearest_m_osm_farmacias,count_500m_osm_bancos,count_1km_osm_bancos,dist_nearest_m_osm_bancos,count_500m_osm_estaciones,count_1km_osm_estaciones,dist_nearest_m_osm_estaciones,n_comisarias_distrito,denuncias_otras_distrito,denuncias_patrimoniales_distrito,denuncias_violentas_distrito
14032-32-af68-e7b18ab09802-19cc960-a4ba-72c9,https://www.properati.com.pe/detalle/14032-32-af68-e7b18ab09802-19cc960-a4ba-72c9,properati,626.67,40.0,1.0,1.0,0.0,5.0,0.0,Departamento,-12.13847252,-77.02230832,Barranco,888e62c521fffff,1.178803640930963,10.26010681009441,40.0,ninguno,exacta,60,11.0,160.3,30.0,132.1,58.0,75.8,10.0,192.7,26.0,74.3,8.0,184.5,23.0,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,2,5,94.88655388712975,0,2,604.6267898536929,2,2,372.0252099999517,11,41,52.88142781226605,0,6,558.8967816973507,0,6,632.7912501477672,0,0,2720.4022938743215,2,1153,1379,827
14032-32-af69-b70fa0360220-19cf7b7-bd93-757f,https://www.properati.com.pe/detalle/14032-32-af69-b70fa0360220-19cf7b7-bd93-757f,properati,1400.0,137.0,2.0,2.0,0.0,10.0,0.0,Departamento,-12.1255069,-77.0294354,Miraflores,888e62ce5bfffff,0.6138810914535097,8.796873907677437,68.5,ninguno,exacta,34,15.0,149.7,34.0,136.2,33.0,264.4,44.0,136.0,60.0,183.4,23.0,80.5,60.0,154.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,4,8,134.7260183180167,4,8,309.01766727196593,1,2,424.82794971960885,3,31,389.14741595543524,13,29,58.35627725923,15,26,69.45901256697603,0,0,3172.861411719278,2,3949,6925,1967
14032-32-afb3-77b09995d3d7-19c7be7-b283-7064,https://www.properati.com.pe/detalle/14032-32-afb3-77b09995d3d7-19c7be7-b283-7064,properati,640.0,41.0,1.0,1.0,0.0,5.0,0.0,Departamento,-12.1376421,-77.0177906,Barranco,888e62c529fffff,1.5189413586260336,10.212259173464885,41.0,ninguno,exacta,19,15.0,59.4,33.0,98.0,56.0,284.4,20.0,139.2,29.0,41.1,12.0,263.0,16.0,317.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,1,3,496.95889437548107,1,1,346.57135030373087,0,2,549.0533721688399,20,50,33.28524935415187,3,5,408.765958666437,0,2,688.4026458526739,0,0,2249.4305444842335,2,1153,1379,827
14032-32-b026-6ea3da591a81-199e9bc-af34-7297,https://www.properati.com.pe/detalle/14032-32-b026-6ea3da591a81-199e9bc-af34-7297,properati,586.67,38.0,1.0,1.0,0.0,5.0,0.0,Departamento,-12.139658,-77.021691,Barranco,888e62c521fffff,1.3201295636935353,10.396209601228522,38.0,ninguno,exacta,60,11.0,160.3,30.0,132.1,58.0,75.8,10.0,192.7,26.0,74.3,8.0,184.5,23.0,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,2,3,116.18331240043135,0,2,643.8520054320163,1,2,347.96925600926096,14,43,150.82076257390503,2,5,422.74486087941153,0,5,651.8246803859147,0,0,2727.909744049451,2,1153,1379,827
14032-32-b04c-f94d3cd3614f-19bb7fa-a5b9-76c6,https://www.properati.com.pe/detalle/14032-32-b04c-f94d3cd3614f-19bb7fa-a5b9-76c6,properati,700.0,48.0,1.0,1.0,0.0,5.0,0.0,Departamento,-12.1408728,-77.0233457,Barranco,888e62c521fffff,1.3147117462904852,10.51983379726156,48.0,ninguno,exacta,60,11.0,160.3,30.0,132.1,58.0,75.8,10.0,192.7,26.0,74.3,8.0,184.5,23.0,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,2,3,146.28575288565523,1,2,424.02155540907,1,2,221.65832717327646,10,42,247.09788433782498,0,5,532.9788059503908,0,5,547.2111229874706,0,0,2951.9171053102555,2,1153,1379,827
14032-32-b0b9-b664ae72487d-19d7993-bde5-7454,https://www.properati.com.pe/detalle/14032-32-b0b9-b664ae72487d-19d7993-bde5-7454,properati,213.33,60.0,2.0,2.0,0.0,5.0,0.0,Departamento,-11.9286474,-77.0560451,Comas,888e62d19bfffff,15.74260704323708,13.431903584888309,30.0,ninguno,exacta,68,15.0,114.6,60.0,38.5,60.0,87.5,21.0,152.6,53.0,100.8,5.0,344.4,19.0,192.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,popular,0,0,1,0,0,1239.1623249742358,0,0,1261.8454152787097,0,1,698.4598210398648,20,50,106.59257518743493,7,13,44.277302639480816,0,0,1197.932484665822,0,0,7953.554238815951,6,5654,4085,10099
14032-32-b0bd-49b10803df6b-19d0cda-ba32-71f2,https://www.properati.com.pe/detalle/14032-32-b0bd-49b10803df6b-19d0cda-ba32-71f2,properati,853.33,70.0,2.0,2.0,0.0,10.0,0.0,Departamento,-12.16572965,-77.02142879,Chorrillos,888e62cec1fffff,0.8108067714273681,13.291105024926464,35.0,ninguno,exacta,23,4.0,152.5,51.0,215.7,46.0,116.7,25.0,14.7,20.0,195.5,8.0,256.7,9.0,323.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,popular,0,0,1,0,1,897.2456458443569,0,0,1177.6965681929598,0,0,2564.963914889532,10,42,172.04216997201536,12,22,284.7953490312016,1,4,475.6341807566685,0,0,4189.924127263688,4,3652,2663,4454
14032-32-b0e5-2db758d6780f-57256fcb-aba8-46c6,https://www.properati.com.pe/detalle/14032-32-b0e5-2db758d6780f-57256fcb-aba8-46c6,properati,800.0,99.0,3.0,2.0,0.0,7.0,0.0,Departamento,-12.0835827,-77.0533062,Jesus Maria,888e62c0a9fffff,1.7497676767493888,4.936624337475324,33.0,ninguno,exacta,163,22.0,366.4,60.0,325.6,60.0,90.9,60.0,93.4,50.0,214.1,28.0,226.9,36.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,emergente,1,0,0,1,1,329.9123994931237,0,5,697.9913644386623,3,12,227.05566896890758,9,39,37.790634762218154,2,18,158.03877068285993,4,6,427.14266507663416,0,0,4692.292452979663,1,1613,2062,1063
14032-32-b0ee-b92be115b63-19687da-b999-78a0,https://www.properati.com.pe/detalle/14032-32-b0ee-b92be115b63-19687da-b999-78a0,properati,850.0,70.0,2.0,2.0,0.0,10.0,0.0,Departamento,-12.1145664,-77.0294772,Miraflores,888e62c0b3fffff,1.5621685581148916,7.580502543062562,35.0,ninguno,exacta,24,17.0,256.2,60.0,199.7,53.0,212.4,60.0,110.7,60.0,254.7,23.0,177.9,60.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,0,5,812.3403082376338,0,7,621.8223061388611,0,2,521.4945967811395,5,29,234.0852805563227,3,37,134.2261944785525,1,14,321.65707050939596,0,0,3197.7054956600723,2,3949,6925,1967
14032-32-b111-a93ca84a86e2-198a9d7-9142-718a,https://www.properati.com.pe/detalle/14032-32-b111-a93ca84a86e2-198a9d7-9142-718a,properati,613.33,44.0,1.0,2.0,0.0,9.0,0.0,Departamento,-12.0942953,-77.0459161,San Isidro,888e62c0bdfffff,1.352986955124334,5.652396622098197,44.0,ninguno,exacta,16,12.0,623.4,18.0,150.4,21.0,102.5,12.0,403.8,31.0,158.3,14.0,272.8,41.0,327.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,0,0,1143.6271113277128,0,1,891.4286611386924,0,5,637.6338565853355,5,25,119.20430877468989,4,12,258.23286360919474,5,9,202.45768924888603,0,0,4365.200756246878,2,1664,2775,797
