modelo,val_rmse,val_mae,val_mape,val_r2,train_rmse,train_mae,train_mape,train_r2
Linear Regression,280.5676187232467,159.40444008207427,16.88965727955102,0.8623383804081056,322.7090800479927,173.01145332102126,16.87389171966651,0.8053312561509831
Ridge,293.590178096554,161.86487930520343,16.885075073121875,0.8492626669361306,331.5529107902459,176.38625602838383,17.08232692020778,0.7945152738245354
Lasso,293.48163112091447,162.01141521013025,16.962983295066042,0.8493741083815427,331.1197143405768,176.25410503837378,17.11902080500102,0.7950518826052201
Random Forest,301.34826137920703,159.80859490881392,16.524566023521988,0.8411909811051111,194.07865875518718,87.25834509903457,8.056847762010165,0.9295907983035682
XGBoost,292.7273238358486,154.83280047449048,15.778646485981266,0.8501473915067689,54.96219742469142,33.450652078101264,3.4527504262476985,0.9943532048705273
