area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,latitud,longitud,dist_mar_km,area_por_dormitorio,cantidad_denuncias,count_1km_supermercados,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,dist_nearest_m_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_en_condominio,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_portero_electrico,tiene_av_acceso_afirmada,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,distrito_enc,fuente_properati,fuente_urbania,tipo_propiedad_Departamento,mismatch_type_frontera,mismatch_type_ninguno,ratio_area_banos,area_x_amenities,antiguedad_sq,total_poi_1km
4.382026634673881,2.0,1.0986122886681098,0.0,2.772588722239781,0.0,-12.0787799,-76.9925644,1.9350806352026568,3.7013019741124933,3.970291913552122,18.0,5.424509391785796,60.0,5.075798620002669,53.0,5.21112415484566,25.0,5.294309345150498,36.0,5.202356975402125,2.3978952727983707,5.200704537681037,9.0,4.100989104940769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.451194487015844,1,0,1,0,1,3.3081069585961433,0.0,5.420534999272286,211.0
4.564348191467836,3.0,1.3862943611198906,0.0,2.0794415416798357,0.0,-12.079548,-77.0502254,1.1802483279251186,3.4863551900024623,5.459585514144159,22.0,4.541164856012179,60.0,4.519612297626445,60.0,4.900820428089049,60.0,4.624972813284271,60.0,3.8979240810486444,3.6109179126442243,4.513054897080286,27.0,5.073297055220967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.599165370253768,1,0,1,0,1,3.2088254890146994,0.0,3.912023005428146,325.0
5.442417710521793,3.0,1.6094379124341003,1.0986122886681098,1.6094379124341003,31.0,-12.083290912686012,-76.96770338247357,2.221688669771995,4.352426164897591,3.8501476017100584,6.0,4.9883896851489355,5.0,4.151039905898646,24.0,4.819474788635096,15.0,4.151039905898646,9.0,4.662495252607361,2.772588722239781,4.819474788635096,11.0,5.294811227218749,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,6.770664704493256,0,0,1,1,0,3.8501476017100584,8.872206756028303,2.833213344056216,85.0
4.465908118654584,3.0,1.0986122886681098,0.0,2.833213344056216,1.0,-12.0742342,-77.0653058,1.02150967008405,3.39002408106403,5.545177444479562,11.0,6.170865175474273,57.0,3.505557396986398,60.0,4.661550519424199,16.0,5.8664680569332965,36.0,5.736894826106403,2.772588722239781,5.9441108507245115,2.0,6.135564891081739,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.371427769119227,0,0,1,0,1,3.39002408106403,4.465908118654584,5.54907608489522,197.0
4.110873864173311,2.0,1.0986122886681098,0.6931471805599453,1.0986122886681098,16.0,-12.0897265,-77.035128,1.0221009712967246,3.4339872044851463,4.0943445622221,35.0,4.475061500641071,60.0,4.560172820057356,60.0,4.970507503005476,60.0,4.966335035199676,60.0,5.2533200006173,3.6109179126442243,5.511814540810441,60.0,5.731073334892105,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6.981762090900498,0,0,1,1,0,3.044522437723423,6.8679744089702925,1.6094379124341003,371.0
4.110873864173311,2.0,1.0986122886681098,0.6931471805599453,1.791759469228055,11.0,-12.0946251,-77.0508119,0.9734399946899739,3.4339872044851463,4.356708826689592,21.0,5.763622475012218,46.0,5.359412465907847,56.0,4.180522258463153,58.0,5.9707515055104405,58.0,5.296315363877364,3.2188758248682006,5.146331009550155,40.0,5.20839265902005,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6.981762090900498,0,0,1,0,1,3.044522437723423,6.493753839851686,3.258096538021482,303.0
4.61512051684126,2.0,1.0986122886681098,0.6931471805599453,3.713572066704308,7.0,-12.131367951503051,-77.00785820926208,1.2259560985738813,3.9318256327243257,2.9444389791664403,8.0,5.689345426858432,19.0,5.080783053998338,37.0,5.335131339670753,17.0,4.380775852772229,19.0,5.368775830196598,2.0794415416798357,6.109691928472632,5.0,6.555356891810665,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6.823435796638254,0,0,1,0,1,3.5361166995615263,6.55250788703459,7.3783837129967145,112.0
3.9318256327243257,1.0,0.6931471805599453,0.0,0.6931471805599453,1.0,-11.9287541,-77.0558182,2.817672344239352,3.9318256327243257,4.23410650459726,15.0,4.750135956238277,60.0,3.676300671907076,60.0,4.483002552013883,21.0,5.034351820713572,53.0,4.623010104116422,1.791759469228055,5.844703165712578,19.0,5.265794174842477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5.662657056851438,0,0,1,0,1,3.258096538021482,3.9318256327243257,0.6931471805599453,233.0
4.6443908991413725,2.0,0.6931471805599453,0.6931471805599453,2.1972245773362196,6.0,-12.1065747,-77.0380089,0.2456305835745833,3.960813169597578,3.5553480614894135,10.0,5.0632277442154265,24.0,5.187385805840755,30.0,6.11390339430056,24.0,5.2832037287379885,35.0,4.816241156068032,2.4849066497880004,4.366912996863833,48.0,4.21803603456465,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,7.066188162597264,0,0,1,1,0,3.960813169597578,6.428105272684596,4.174387269895637,182.0
3.8501476017100584,1.0,1.0986122886681098,0.0,0.6931471805599453,8.0,-12.0960567,-77.0266917,1.0136788214611376,3.8501476017100584,4.3694478524670215,23.0,3.845883202923601,44.0,3.5779478934066544,50.0,5.085742766583061,60.0,5.2533200006173,60.0,3.4307561839036995,3.295836866004329,4.679349584162343,60.0,4.063885354737392,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6.981762090900498,0,0,1,0,1,2.793208009442517,5.910796644040527,0.6931471805599453,323.0
