area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,latitud,longitud,dist_mar_km,dist_centro_km,area_por_dormitorio,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_portero_electrico,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,estrato_nse,cat_dist_emergente,cat_dist_establecido,cat_dist_popular,count_500m_osm_supermercados,count_1km_osm_supermercados,dist_nearest_m_osm_supermercados,count_1km_osm_malls,dist_nearest_m_osm_malls,count_1km_osm_universidades,dist_nearest_m_osm_universidades,count_500m_osm_parques,count_1km_osm_parques,count_500m_osm_farmacias,count_1km_osm_farmacias,dist_nearest_m_osm_farmacias,count_500m_osm_bancos,count_1km_osm_bancos,dist_nearest_m_osm_bancos,count_1km_osm_estaciones,dist_nearest_m_osm_estaciones,n_comisarias_distrito,denuncias_patrimoniales_distrito,denuncias_violentas_distrito,distrito_enc,fuente_properati,fuente_urbania,tipo_propiedad_Departamento,mismatch_type_frontera,mismatch_type_ninguno,ratio_area_banos,area_x_amenities,es_zona_premium,antiguedad_sq,total_poi_1km
4.61512051684126,2.0,1.0,0.0,2.302585092994046,0.0,-12.099738,-77.02049,1.163280563285119,1.9451278608828204,3.9318256327243257,3.977810745966149,29.0,4.312140507209715,26.0,4.147885329150131,39.0,41.0,3.3978584803966405,11.0,5.250701512606374,56.0,4.941642422609304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,0,0.6931471805599453,3,6.072929323836601,0.0,7.049929860634366,1.0986122886681098,6.173735631252946,6,31,2.0794415416798357,12,5.692759726838891,2.1972245773362196,27,5.0711958134380986,0.0,7.62104401077281,1.0986122886681098,2775,6.682108597449809,6.976887327623808,1,0,1,0,1,3.9318256327243257,0.0,0,4.406719247264253,226.0
4.653960350157523,2.0,2.0,0.0,2.3978952727983707,6.0,-12.1278822,-77.0289646,0.31078725693861364,2.3086216438049214,3.970291913552122,5.01529110563245,34.0,4.921439715291784,33.0,5.581238121898107,44.0,60.0,5.2171073111224935,23.0,4.400603020246817,60.0,5.048573133436648,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,0,1.3862943611198906,7,6.001630512356415,2.1972245773362196,6.240517943559458,1.0986122886681098,5.870676873395989,3,27,1.9459101490553132,21,4.541302273657653,2.4849066497880004,24,4.520103188417195,0.0,8.045962134518824,1.0986122886681098,6925,7.584773077612199,7.063812272871515,0,0,1,0,1,3.574216545793796,6.437751649736401,0,4.61512051684126,269.0
5.0238805208462765,3.0,3.0,1.0986122886681098,2.1972245773362196,15.0,-12.0973527,-76.9809964,2.0110586904937495,2.159506878623271,3.9383403137455195,5.129306823813755,0.0,6.196036712836756,20.0,5.881370624310908,4.0,8.0,5.787510690186913,2.0,6.768837979795468,13.0,5.805436128382701,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,4,0,1,0,0.0,1,6.29246151174649,0.0,7.047297557651742,0.0,6.970706784706006,7,44,0.0,0,7.022109896261345,0.0,1,6.789829744014166,0.0,7.7355428610206465,1.3862943611198906,6185,8.471777327885755,6.771352029707361,0,0,1,1,0,3.657130755799356,7.725771441587952,0,4.174387269895637,50.0
4.2626798770413155,1.0,1.0,0.6931471805599453,3.258096538021482,8.0,-12.1189673,-77.0379943,0.9432544297457204,2.2121004532374693,4.2626798770413155,5.5020742040620565,42.0,3.169685580677429,40.0,5.585749407744609,60.0,57.0,5.129306823813755,22.0,4.9883896851489355,55.0,5.236973736306985,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,1,0,1.0986122886681098,5,5.520240175911036,1.0986122886681098,4.733412289829118,1.0986122886681098,6.273979246760028,12,50,1.9459101490553132,19,4.939804848945437,0.6931471805599453,9,5.545184014961729,0.0,8.341337776219175,1.0986122886681098,6925,7.584773077612199,7.063812272871515,0,0,1,0,1,3.58351893845611,6.329720905522696,0,6.439350371100098,287.0
3.4339872044851463,1.0,1.0,0.0,2.3978952727983707,0.0,-12.0777148,-77.0565087,1.0477694027768312,1.7274149785778932,3.4339872044851463,4.517431271680085,60.0,5.529032183358565,60.0,4.560172820057356,60.0,46.0,5.786283696167945,23.0,6.1764907763090635,11.0,6.169192234891709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.0,2,6.759699821873469,2.0794415416798357,6.599622321039603,1.9459101490553132,4.499281616853572,8,50,1.9459101490553132,28,5.772087442618042,0.6931471805599453,14,6.115842728571043,0.0,8.506783549655637,0.6931471805599453,665,6.639875833826536,6.4924380388032,0,0,1,0,1,2.772588722239781,0.0,0,4.61512051684126,277.0
5.605802066295998,3.0,3.0,0.0,2.3978952727983707,0.0,-12.128004,-76.9679066,2.034728521117712,2.502540981898823,4.5145158177199605,6.179809592879496,13.0,6.22217936391851,29.0,4.969813299576001,4.0,9.0,5.480222169845649,13.0,6.367672474149028,10.0,6.432296799053438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,1,0,0.0,3,6.689261654156483,0.6931471805599453,6.72110632949803,0.0,7.052156589660333,5,25,0.0,3,6.6602329467759835,0.0,1,6.645268702171012,0.0,7.95072209543857,1.3862943611198906,6185,8.471777327885755,6.771352029707361,1,0,1,0,1,4.230476736546681,0.0,0,4.61512051684126,82.0
5.0238805208462765,2.0,2.0,1.3862943611198906,2.1972245773362196,13.0,-12.0899805,-77.0501007,1.0805050508174432,1.8539762556859265,4.33729074083249,5.763622475012218,46.0,5.359412465907847,56.0,4.180522258463153,58.0,58.0,5.296315363877364,24.0,5.146331009550155,40.0,5.20839265902005,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,1,0,0.0,1,6.70275864175287,0.6931471805599453,5.660028716301704,2.4849066497880004,5.213179134643712,14,39,1.791759469228055,15,5.532779438160477,1.9459101490553132,15,6.027256542659259,0.0,8.426602058599215,1.0986122886681098,2775,6.682108597449809,6.976887327623808,0,0,1,0,1,3.9383403137455195,7.582738488914411,0,4.174387269895637,303.0
5.990388968881049,3.0,4.0,1.0986122886681098,2.6390573296152584,20.0,-12.1337057,-77.028807,0.283390309699541,2.3709919001308513,5.049856007249537,6.182084906716632,17.0,6.0063531596017325,42.0,5.382198850528739,17.0,24.0,4.449685283147696,12.0,4.872904620630176,29.0,4.86830338551846,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,0,1,0,0.6931471805599453,6,5.93667744572235,1.3862943611198906,5.530819096888771,1.0986122886681098,6.610656625310283,8,16,0.6931471805599453,5,4.97661293014331,0.6931471805599453,10,5.603734849912008,0.0,8.069026639616922,1.0986122886681098,6925,7.584773077612199,7.063812272871515,0,0,1,0,1,4.390912042261854,8.983740855688582,0,5.135798437050262,154.0
4.110873864173311,2.0,2.0,0.0,2.1972245773362196,0.0,-12.0867995,-77.093792,0.9273693290256463,2.2408754084569456,3.4339872044851463,5.058790335983303,54.0,3.4719664525503626,48.0,4.822697998516666,9.0,24.0,4.300002799195291,6.0,6.095824562432225,8.0,4.757032535297338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,0,0.6931471805599453,1,5.898937559543316,0.6931471805599453,6.877138822650386,0.0,7.051380933471006,9,36,1.0986122886681098,3,5.665227349750991,0.0,1,6.898090571194493,0.0,9.114991490242028,1.0986122886681098,1626,7.487173694213739,6.40793525140478,1,0,1,0,1,3.044522437723423,0.0,0,4.174387269895637,163.0
4.727387818712341,3.0,2.0,0.0,1.9459101490553132,0.0,-12.05744,-77.0438986,1.6991781049882326,1.1237222139292193,3.6463198396951406,5.241217774507464,60.0,4.312140507209715,60.0,2.714694743820879,55.0,60.0,4.370712874773608,31.0,5.520660597691477,60.0,4.215086179918229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,1,0.0,3,6.413769169378739,2.4849066497880004,6.322175592205154,1.3862943611198906,5.961468625812419,4,18,2.70805020110221,33,5.696012687209606,1.6094379124341003,17,4.566056713313169,0.0,8.122616373557559,0.0,0,0.0,6.43074684211437,1,0,1,1,0,3.6463198396951406,0.0,0,3.6109179126442243,340.0
