id_portal,url,fuente,precio_usd,area_final_m2,dormitorios,banos,cocheras,antiguedad_anios,amenities_count,tipo_propiedad,latitud,longitud,distrito_oficial,h3_index_8,dist_mar_km,dist_centro_km,area_por_dormitorio,mismatch_type,precision_geocoding,cantidad_denuncias,count_1km_supermercados,dist_nearest_m_supermercados,count_1km_farmacias,dist_nearest_m_farmacias,count_1km_colegios,dist_nearest_m_colegios,count_1km_hospitales,dist_nearest_m_hospitales,count_1km_bancos,dist_nearest_m_bancos,count_1km_universidades,dist_nearest_m_universidades,count_1km_parqueos,dist_nearest_m_parqueos,tiene_numero_de_pisos,tiene_ascensores,tiene_cocina,tiene_centros_comerciales_cercanos,tiene_piso_en_el_que_se_encuentra,tiene_seguridad,tiene_exteriores,tiene_reposteros_en_cocina,tiene_closet,tiene_recepcion,tiene_intercomunicador,tiene_cerca_a_colegios,tiene_amueblado_a,tiene_mascotas,tiene_cerca_a_parque_a_menos_de_2_cdras,tiene_tipo_de_cochera,tiene_terraza,tiene_piscina,tiene_av_acceso_asfaltada,tiene_vista_a_la_ciudad,tiene_walk_in_closet,tiene_bano_de_servicio,tiene_cuartos_de_servicio,tiene_numero_de_departamentos,tiene_sistema_contra_incendios,tiene_acabados_de_lujo,tiene_jardines,tiene_en_condominio,tiene_vista_al_mar,tiene_vista_parque,tiene_caseta_de_guardia,tiene_frente_a_parque,tiene_cerco_de_material_noble,tiene_portero_electrico,tiene_av_acceso_afirmada,tiene_duplex,tiene_frente_al_mar_primera_fila,tiene_jacuzzi,cocheras_informadas,es_estudio,estrato_nse,categoria_distrito,cat_dist_emergente,cat_dist_establecido,cat_dist_popular,count_500m_osm_supermercados,count_1km_osm_supermercados,dist_nearest_m_osm_supermercados,count_500m_osm_malls,count_1km_osm_malls,dist_nearest_m_osm_malls,count_500m_osm_universidades,count_1km_osm_universidades,dist_nearest_m_osm_universidades,count_500m_osm_parques,count_1km_osm_parques,dist_nearest_m_osm_parques,count_500m_osm_farmacias,count_1km_osm_farmacias,dist_nearest_m_osm_farmacias,count_500m_osm_bancos,count_1km_osm_bancos,dist_nearest_m_osm_bancos,count_500m_osm_estaciones,count_1km_osm_estaciones,dist_nearest_m_osm_estaciones,n_comisarias_distrito,denuncias_otras_distrito,denuncias_patrimoniales_distrito,denuncias_violentas_distrito,log_precio,_strata,_strata2,distrito_enc,fuente_properati,fuente_urbania,tipo_propiedad_Departamento,mismatch_type_frontera,mismatch_type_ninguno,ratio_area_banos,area_x_amenities,es_zona_premium,antiguedad_sq,total_poi_1km,total_poi_osm_1km
149646578,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-compacto-con-hermosa-vista-149646578.html,adondevivir,579.71,33.0,1.0,1.0,0.0,15.0,5.0,Departamento,-12.0845138,-77.0506799,Jesus Maria,888e62c0a9fffff,1.979551500309361,4.876268311650171,33.0,ninguno,exacta,163,22.0,366.4,60.0,325.6,60.0,90.9,60.0,93.4,50.0,214.1,28.0,226.9,36.0,313.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,emergente,1,0,0,1,1,206.99353303990935,0,6,632.1579963546212,7,12,197.7198734414691,12,37,201.38739260847905,1,21,188.4313909099671,1,12,459.69596955108074,0,0,4437.738770669502,1,1613,2062,1063,6.364251492825564,emergente_E3,emergente_E3,6.613425959177274,0,0,1,0,1,16.5,165.0,0,225.0,316.0,89
14032-32-4e42-bb1750ecced6-19d66ba-a2cc-70d3,https://www.properati.com.pe/detalle/14032-32-4e42-bb1750ecced6-19d66ba-a2cc-70d3,properati,400.0,60.0,2.0,2.0,0.0,4.5,0.0,Departamento,-12.302735,-76.7830867,Punta Hermosa,888e620249fffff,28.43913383896644,39.03822222543536,30.0,ninguno,exacta,0,0.0,571.2,0.0,489.8,2.0,148.6,0.0,526.6599999999993,1.0,507.3,0.0,661.5,0.0,566.1999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,popular,0,0,1,0,0,5618.823249637107,0,0,5871.359338492656,0,0,11228.582510283277,0,6,504.869144478668,0,0,5345.342958579018,0,0,9848.468040621896,0,0,19509.963822632588,1,225,232,235,5.993961427306569,popular_E3,popular_E3,6.801547444095918,1,0,1,0,1,20.0,0.0,0,20.25,3.0,6
147433692,https://www.adondevivir.com/propiedades/clasificado/alclapin-hermoso-departamento-de-2-habitaciones-en-miraflores-147433692.html,adondevivir,950.0,200.0,2.0,2.0,1.0,15.0,11.0,Departamento,-12.123929565656573,-77.03483532913403,Miraflores,888e62ce59fffff,0.9457422134726148,8.648371265333962,100.0,ninguno,exacta,35,11.0,244.2,42.0,22.8,40.0,265.6,60.0,149.1,57.0,167.9,22.0,145.7,55.0,187.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,establecido,0,1,0,3,7,312.2227992662287,1,7,302.51769649377,0,1,553.8625361063358,13,38,133.0504106213637,2,25,318.3121865680754,0,22,524.2820573378324,0,0,3770.456969186788,2,3949,6925,1967,6.85751406254539,establecido_E5,establecido_E5,7.063812272871515,0,0,1,0,1,66.66666666666667,2200.0,0,225.0,287.0,100
149651954,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-departarmento-primer-piso-tipo-casita-visya-y-149651954.html,adondevivir,5500.0,300.0,3.0,3.0,2.0,15.0,22.0,Departamento,-12.1069072,-77.0444031,San Isidro,888e62c0b5fffff,0.5235852440835177,6.946754965383121,100.0,ninguno,exacta,13,12.0,83.3,18.0,149.2,22.0,95.4,25.0,332.3,27.0,393.4,4.0,785.0,22.0,269.1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,5,establecido,0,1,0,1,5,349.29932187120943,0,0,1617.6237919356645,0,0,1261.9369078847626,11,28,90.81579142925996,0,8,532.7514217624795,3,13,445.8183583477032,0,0,4688.109313334861,2,1664,2775,797,8.612685172875459,establecido_E5,establecido_E5,6.976887327623808,0,0,1,0,1,75.0,6600.0,0,225.0,130.0,54
143763281,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-sin-amoblar-con-vista-exterior-143763281.html,adondevivir,1100.0,115.0,2.0,2.0,2.0,4.0,16.0,Departamento,-12.1229998,-77.0200062,Miraflores,888e62c561fffff,1.4041915188298957,8.567431526986438,57.5,ninguno,exacta,42,18.0,344.7,60.0,198.5,52.0,203.2,35.0,95.3,54.0,176.9,9.0,661.5,40.0,335.7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,establecido,0,1,0,0,3,755.3355343486108,0,6,760.5365164300476,0,1,774.8355158804274,8,25,196.0385021763863,2,22,314.9307468839681,3,16,307.3344926635004,0,0,2186.75789062425,2,3949,6925,1967,7.00397413672268,establecido_E5,establecido_E5,7.063812272871515,0,0,1,0,1,38.333333333333336,1840.0,0,16.0,268.0,73
14032-32-9752-c4af9f43cbad-19dd4eb-a005-766b,https://www.properati.com.pe/detalle/14032-32-9752-c4af9f43cbad-19dd4eb-a005-766b,properati,1050.0,101.0,3.0,2.0,0.0,10.0,0.0,Departamento,-12.1335441,-76.9888683,Santiago de Surco,888e62c50bfffff,4.352059879796528,10.604908495197158,33.666666666666664,ninguno,exacta,20,14.0,209.2,37.0,266.6,56.0,206.6,30.0,116.9,30.0,351.7,6.0,204.9,11.0,351.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,establecido,0,1,0,0,1,875.6178590153589,0,1,676.1995424341812,0,1,948.0352374351664,19,42,93.64116833090424,1,16,116.23375169885712,0,11,659.9810013281506,0,1,880.7627380942214,3,4435,6185,4777,6.957497370876951,establecido_E4,establecido_E4,6.771352029707361,1,0,1,0,1,33.666666666666664,0.0,0,100.0,184.0,73
14032-32-9de1-e600a3c718d8-191aa2e-bdee-7ceb,https://www.properati.com.pe/detalle/14032-32-9de1-e600a3c718d8-191aa2e-bdee-7ceb,properati,1600.0,240.0,3.0,3.0,0.0,9.0,0.0,Departamento,-12.0946914,-77.0166079,San Isidro,888e62c091fffff,2.7896736608773383,5.523262593150088,80.0,ninguno,exacta,23,23.0,231.2,33.0,308.6,29.0,216.5,60.0,364.1,48.0,371.0,13.0,511.0,60.0,101.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,0,1,741.7804196941756,0,1,689.881786009595,0,0,1044.63117736334,11,37,81.8647945274961,2,9,477.0216260723053,2,17,341.55907372399355,0,0,1651.4559647459864,2,1664,2775,797,7.3783837129967145,establecido_E5,establecido_E5,6.976887327623808,1,0,1,0,1,60.0,0.0,0,81.0,266.0,65
14032-32-e98c-fddcefbcc4fb-19dd0c9-96a0-7738,https://www.properati.com.pe/detalle/14032-32-e98c-fddcefbcc4fb-19dd0c9-96a0-7738,properati,800.0,65.0,1.0,4.0,0.0,10.0,0.0,Departamento,-12.129944,-77.023466,Miraflores,888e62c567fffff,0.719964941293636,9.305779607327112,65.0,ninguno,exacta,17,19.0,265.9,57.0,254.0,56.0,94.9,58.0,125.7,60.0,297.0,21.0,213.5,60.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,establecido,0,1,0,3,7,100.75466350131568,1,3,140.923386425383,1,2,416.56539624924216,4,36,304.8645843761985,1,16,136.82695728151467,1,21,151.98714311218234,0,0,2543.5374377040366,2,3949,6925,1967,6.68586094706836,establecido_E5,establecido_E5,7.063812272871515,1,0,1,0,1,13.0,0.0,0,100.0,331.0,85
14032-32-2067-641da7865193-19ceeba-82db-76c8,https://www.properati.com.pe/detalle/14032-32-2067-641da7865193-19ceeba-82db-76c8,properati,853.33,65.0,3.0,2.0,0.0,6.0,0.0,Departamento,-12.0780403,-77.0276381,Cercado de Lima,888e62c08bfffff,3.285309590907761,3.5194889647633603,21.666666666666668,frontera,exacta,42,18.0,242.9,60.0,222.5,60.0,304.6,53.0,379.1,60.0,225.6,21.0,366.4,34.0,104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,popular,0,0,1,1,3,467.3392582237136,0,1,975.4703895902984,1,5,357.885715943595,11,24,104.44902817700796,3,26,438.1408001111134,8,15,390.1180980768943,0,0,1834.233951297061,0,0,0,0,6.750317536010629,popular_E2,popular_E2,6.43074684211437,1,0,1,1,0,21.666666666666668,0.0,0,36.0,306.0,74
14032-32-cb0c-d52bae9724e4-19a3d89-9bb1-7156,https://www.properati.com.pe/detalle/14032-32-cb0c-d52bae9724e4-19a3d89-9bb1-7156,properati,626.67,62.0,1.0,2.0,0.0,7.5,0.0,Departamento,-12.0990479,-77.062184,Magdalena del Mar,888e62c0a7fffff,1.188305845839364,6.90553578578367,62.0,ninguno,exacta,2,9.0,109.8,23.0,349.9,45.0,99.5,34.0,26.8,17.0,449.4,12.0,608.7,6.0,452.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,emergente,1,0,0,0,0,1009.7343036895516,0,0,1295.2230339329078,1,4,350.2253303204593,11,50,271.18524465149517,0,9,500.5446337915957,1,6,482.9597106547064,0,0,6176.515445188197,1,624,722,574,6.442014550649397,emergente_E3,emergente_E3,6.66366590055578,1,0,1,0,1,20.666666666666668,0.0,0,56.25,146.0,69
